aymara,spanish
Qinayjata,Nublado
Qinayuru,"Día nublado, Júpiter"
Qincha,Cerco con palos o espinas
Qintu,"Zarza parrilla, planta medicinal"
Qiñuqaya,Ave de lago
Qiñwa,Planta para teñir o colorante
Qipa,La trama de la tela
Qipaña,Introducir lana en el tejido
Qiparaña,"Traviesa, mujer lisonjera"
Qipayaña,Hacer introducir la lana en el tejido
Qipu,"Pinchu de la tuna, Abrojo"
Qirari,"Sucio, mugroso"
Qiri challwa,Pescado escamoso
Qisima,Hollín
Qiwilnaqtaña,Caminar tropezando
Qiwlla,Gaviotas
Quimsa,Tres
Quimsacallco,"8, Ocho"
Quiti,Comarca
Quitisa,Alguno. Quién.
Quitisa nuasi?,Quien pelea?
Quli,Enmarañado revuelto
Qulla,Medicina para curar
Qullana,Nombre del pueblo andino. Jornalero.
Qullaña,Curar al enfermo
Qullani,El que tiene medicina. Farmacia
Qullasiña,Curarse
Qullata,Enfermo curado
Qullayasiña,Dejarse curar
Qullayasiri,El enfermo que se hace curar
Qulli,"Árbol, quiswara"
Qulliri,El curandero o médico
Qullmukipaña,"Roer, Mascar revolviendo"
Qullmuña,Mascar sin dientes como los ancianos
Qullmuraña,"Roer, Chupar"
Qullpa,Salitre
Qullqi,Dinero o plata
Qullqi mirakamana,Banquero
Qullqi pirwa,"Almacén, banco"
Qullqichinu,Amarro de dinero
Qullu,Cerro. Montón de algo. Quebrada o cordillera
Qullu k'uchu,Rincón del cerro
Qullu samka,Sueño en vano
Qullu wich'inkha,Punta del cerro o pie del cerro
Qulluchaña,Amontonar
Qulluri,El que fracasa cuando quiere hacer algo
Qullüña,"Dejar de ir, hacer algo por algún estorbo"
Qullüwaña,"Estorbar a otro, hacer dejar algo"
Qulläna,El que curaba. Médico
Qulti,"Cabello enmarañado, revuelto"
Qulu,"Terrón de azúcar, nudo, Cosa redonda dura"
Qulumina,Rodar por el suelo cuesta abajo
Qumi,Mujer o hembra estéril
Quña,"Suave, blando"
Quña quña,"Vello, pelo suave"
Qunchu,"Asiento, agua turbia"
Qunqura,Rodilla
Qunquriña,Arrodillarse
Quntu,Promontorio de tierra
Qunuña,"Silla, mueble para sentarse"
Qunuri,El que se sienta sobre algo
Quqa,Árbol cualquiera que sea
Quqa qupa,"Espesura de árboles, monte"
Ququ,"Fiambre, comida, merienda"
Ququña,Merendar
Ququruqu,Gallo
Ququtuwa,"Paloma, torcaz"
Ququyaña,"Hacer comer, dar de comer, Dar fiambre o merienda"
Qura,"Hierba del campo inútil, hierva medicinal"
Quraraña,Deshierbar
Qurari,Podrido
Quri,"Metal precioso, oro"
Quri qala,Piedra de oro
Qurpa,"Lindero, límite"
Qurpa uta,Alojamiento
Qurpachaña,"Alojar, hospedar"
Qurpachasiña,Hospedarse
Qurpachayaña,Hacer alojar
Qurpachitajichha aruma,Alójame por esta noche
Qurpaña,"Delimitar, mojonear"
Qurpani,Colindante
Qurwariyaña,Cubrir de moho
Qusisiña,Alegrarse
Qusqu,Nombre de una ciudad (Cusco)
Quta,Lago
Quta ampara,Palma de la mano
Quta lakathiya,Orillas del lago
Quta quta,"Nombre de una comunidad, Lagunillas"
Qutquri,Ave del altiplano
Qutthaphiña,"Agrupar animales, personas y cosas"
Qutu,Montón
Qutu qutu,"Montoncillos juntos, por grupos"
Qutu warawara,Conjunto de estrellas. Pléyades
QuyIlu,"Persona que no ve, que no tiene ojo"
Quyru,Nube en los ojos
Quysuña,Arrastrar la vestimenta. Vestimenta grande
Quytu,"Variedad de quinua, Conejo con los dientes sobresalidos"
Quyu,Variedad de papa
Qüña,Agua estancada
Qäna,Red para pescar
Sacamaca,Sartén
Sairi,Tabaco
Sajra uru,Martes
Sajsantaña,"Tragar todo violentamente, Engullir"
Sajuna,Color azul y celeste
"Sajuna, Siljiruna",Violeta
Sak'a,Planta áspera de flores
Sak'asiya,Palos delgados para tejer
Sakkana,Red
Salla,Peñascos escarpados. Voz entonada.
Sallqa,"Zalamero, Charlatán"
Sallqaqaña,Engañar
Sallqjaña,Traicionar o hacer traición
Salta,Figuras en telar
Salwiya,Salvia. (planta medicinal)
Sama,Color
Samachaña,Matizar con armonía diversos colores
Samakkaña,Pasear
Samaña,"Respiración, aliento. Oxígeno. Descanso. adv. Lugar de descanso"
Samaña uru,Sábado
Samantaña,Transmitir hábitos. Contaminar.
Samaqiña,Respirar con fuerza
Samaram,Descansa
Samaraña,Descansar
Samarasiña,Tomar un descanso
Samarayaña,Hacer descansar
Samartasiña,Descansarse
Samcasiña,Soñar
Sami,"Fortuna, Ventura, Color."
Samka,Sueño
Samkachaña,Estar en el sueño de alguien
Samkanjama,Como en el sueño
Samkasiña,Soñarse
Samkata,Desmayado
Samkayaña,Hacer desmayar
Samña,Respirar
Samsuña,Exhalar
Saña,Decir
Sanampaña,Letra
Sanca,Burla
Sani,Variedad de un papa
Saniña,Ir a decir
Sank'a,Instrumento de viento
Sank'ayu,Fruto de cactus
Sankaña,Golpear
Sankata,Soñado
Sankhu,"Espeso, grasoso"
Sanqa,Labio leporino
Sansa/Sank'a,Brasa
Sanu,Peine
Sañu,Olla de barro
Sanuña,"Peinar, arreglar el cabello"
Sanuri,"Peinador, el que peina"
Sapa,"Sólo, único"
Sapa phajgsi,Mensual
Sapachaña,"Desaparecer, Separar una de dos cosas quien hacían par"
Sapajaki,Sin nadie
Sapakuti,Cada vez
Sapamara,Cada año
Sapamaya,Cada uno
Sapamayniru,A cada uno
Sapamaynitaki,Para cada uno
Sapaqata,"Individual, Cada uno"
Saphi,"Raíz, Principio"
Saphintaña,"Enraizar, Arraigar"
Sappa,Canasta
Sapuru,Diario
Sapurutjama,De día en día
Sapüru,"Cotidiano, Diario, cada día"
Sapürutaki,Para cada día
Sapäña,Estar sólo
Saq'a,La raíz de la totora buena de comer
Saq'ampaya,Variedad de papa
Saq'u,Variedad de papa del grupo munta
Saqa,Tejido ralo
Saqaña,Bolsón enmallado
Sarakipaña,"Repasar, volver a pasar por un mismo sitio"
Sarakkasa,Bajando
Saram,"Ve, anda"
Saramuchuyaña,Sacar o apartar a uno del camino que se debe seguir
Saraña,"Ir, Andar o caminar, Viajar."
Sarañani,Iremos
Saraqaña,"Descender, bajar, caminar hacia abajo"
Sarasa,Andando
Sarir uma,Corriente de agua
Sariri,Viajero
Sarkaña,"Seguir yendo, adelantarse"
Sarnaqaña,"Andar, caminar, vivir"
Sarnaqata,"Andado, vivido"
Sarnaqawi,Costumbre
Sarnaqayaña,Hacer caminar
Sarnaqiri,"Ambulante que va de un lugar a otro, Nómada"
Sarnaqt'aña,"Trajinar, pasear"
Sarsillu,Arete hecho de lana para adornar animales domésticos en carnavales
Sart'a,Pedir la mano
Sart'ayaña,Hacer visitar
Sartaña,Levantarse
Sartasiña,Solicitar
Sartayaña,Hacer levantar a alguien
Sarttasiña,Visitar
Saruña,Oxidar
Sarxaña,Irse
Sarxaraña,Alistarse. Emprender viaje
Sarxariri,El que se va
Sarxataña,"Asumir, tomar para si. Emprender un trabajo, Subir, acercarse al borde"
Sarxatiri,Persona que sube
Sat'ayaña,Hacer parar
Sata,Dicho
Sataña,Sembrar
Sataniña,Ir a sembrar
Sataphaxsi,Mes de siembra
Sataqallta,Mes de septiembre
Sataqaña,Dar en la parcela una extensión de surcos
Satata,Sembrado
Satawi laphaqa,Octubre
Satiri,Sembrador
Satxataña,Sembrar sobre lo sembrado
Sawi,"Dicho, refrán de carácter didáctico y moral"
Sawka,"Burla, Broma, chiste"
Sawkasiri,"Bromista, chistoso (a)"
Sawu,Conjunto de instrumentos para tejer. Tejido
Sawukipaña,Volver a tejer
Sawukipata,Tejido con ribete
Sawulawa,Palo de telar
Sawuntaña,Empezar a tejer
Sawuyaña,Hacer tejer
Saxa,"Orificios causados por el uso, Objeto rajado. Las aberturas de la tierra, peñas o concavidades"
Saxiya,"Espanta pájaros, espanta zorros"
Saxra,"Viento, torbellino pequeño maligno"
Saxta,Guiso de gallina con ají y papas
Sayaña,Parcela
Saykaña,Estar parado
Saykataña,Pararse junto a una persona
Saykatayaña,Arrimar o hacer parar
Sayt'aña,Ponerse de pie
Sayt'asiña,"Protestar, oponerse, levantarse"
Sayt'ata,Parado
Sayt'awi,"Paro, suspensión de obras"
Sayt'u,"Largo, Alargado"
Sayuña,Telar
Sich'iña,Deshojar la mazorca
Sik'i,Planta silvestre alimenticia
Sika,"Vena, conducto que lleva la sangre por el cuerpo"
Sikhaña,"Llevara un animal con una soga. Estirar, separar la lana"
Sikhiña,"Preguntar, interrogar"
Sikhsuña,Desenchufar. Ensartar la aguja. Pasar objetos entre otros
Sikhxataña,"Averiguar, buscar la verdad"
Sikili,Fruta de un árbol silvestre
Sikt'aña,Azotar
Siku,Zampoña Instrumento musical de viento
Sikuri,Persona que toca la zampoña
Sikusiku,"Parte del intestino delgado del rumiante, en espiral"
Sikuya,Paja
Sillanki,Golondrina
Sillari,Plaga de gusanos que comen las semillas sembradas o el brote
Sillp'a,Delgado
Sillp'aña,"Aplastar, laminar"
Sillp'i,Cáscara
Sillp'ikama,Mucha cáscara
Sillp'iña,Quitar la cáscara
Sillp'ini,Con cáscara
Sillp'ita,Descascarado
Sillppi,Cáscara
Sillqiña,Pelear
Sillqita,Cáscara pelada
Sillqu,"Lombriz de tierra, Gusano que vive en la humedad"
Sillu,Garra. Uña.
Sillunuqaña,Rascar para que pase el picazón
Sini,"Sortija, Anillo"
Sink'uña,"Brincar, saltar"
Sinqasiña,Hacer muecas levantando y frunciendo especialmente el labio superior
Sinsiña,Sonrisa sarcástica
Sintipuni,"Demasiado, Mucho"
Sip'i,Arrugado
Sip'tapiña,Plegar. Arrugar
Sip'tapita,"Plisado, fruncido"
Sip'u,Arruga
Sip'uña,"Fruncir, plegar"
Sipasini,Amancebado
Sipita,Ahorcado. Trampa.
Sipitaña,Poner trampas
Siqi,"Fila, columna"
Siqiki,"En fila, en formación"
Siqiña,"Rayar, hacer rayas, rayar el suelo"
Siqintaña,Hacer fila
Siqisiña,Persignarse
Siqitiña,"Ir en fila, desfilar"
Siqititi,Hormigas que viajan en largas filas
Sira,"Pedo, Sonoro. Gases estomacales."
Siraña,"Copular, apareamiento de aves"
Sirca,Vena
Sirk'i,Verruga
Sirk'irara,El que tiene verrugas
Sirka,Veta mineral
Sirki,"Arruga, Frunce"
Sisaña,Saciar
Sisata,Hartado
Sisayaña,Saciarlo
Sisinkha,Adormecimiento
Sisira,Color anaranjado
Sist'aña,"Saciar, hartar, satisfacer completamente"
Sisu,"Sarna en el cuerpo, Una variedad de papa amarga del grupo luk'i"
Siwaña,"Cebar, alimentar ganados"
Siwinqa,Planta andina
Siwiq'ara,Gallinazo de la sierra
Sixi,"Granero, Almacén donde se guardan los cereales"
Sixsiña,Reír con simpatía
Sixtam,Encender fósforo
Sixtiti,Flaco
Sojta,"6, Seis"
Sojta tunka,"60, Sesenta"
Such'i,Especie de roldana hecha de madera. Pez de agua dulce
Suchu,"Desplazamiento de la tierra, Paralítico"
Suchuña,"Raptar, Andar arrastrándose, resbaladera"
Suczaña,Doblar
Suja,"Sin peso, liviano"
Sujthapi,Anochecer
Suk'a,Mujer delgada por falta de enaguas
Suk'aña,"Doblar ropa. Fila, ordenar"
Suk'asiri,Plegable. Que se dobla
Suk'ata,"Ordenado, doblado"
Suk'tapiña,Acomodar la ropa
Suk'u,"Tejido listado a lo largo, como en ponchos"
Suka,Surco
Sukachaña,Formar surcos
Sukaqullu,Micro riegos
Sulla,Escarchar. Rocío.
Sullaña,Lloviznar
Sullka,"Menor, hermano menor"
Sullsuña,Acción de abortar intencionalmente
Sullu,"Feto, aborto"
Sullulu,Un objeto o lugar mojado por la lluvia.
Sulluña,Parto antes de tiempo. Abortar.
Sulluri,Persona que aborta
Sulluta,Abortado
Sulluyaña,Hacer abortar a una mujer
Sululu,Fruto exótico que sirve para jugar
Suma,"Hermoso, bueno"
Sumachaña,"Reconciliar. Conciliar, mejorar"
Sumachasiña,Adornarse
Sumachuymani,De buen corazón
Sumankaña,Estar en armonía. Estar tranquilos
Sumata,De buena manera
Sumthapiña,Hacer las pases
Sumthapiyaña,Hacer reconciliar
Sunaqi,Menguante
Sunaqiña,Producir indigestión cuando se come
Sunca,"Barba, Bigote"
Sunkha,"Barba, Bigote"
Sunkhani,"Barbudo, bigotudo"
Sunkharara,Barbudo
Sunku,Manco
Sunquru,Tráquea
Sunt'intaña,Meterse al lodo
Sunt'ita,Revolcado
Sunt'iyaña,"Revolcar, echar al suelo, revolverle"
Suntisiña,Revolcarse
Supaya,"Demonio, diablo"
Supayqallu,Chico travieso
Supu,Vestido holgado
Suq'a,Uso de pocas polleras
Suq'usa,"Cañahueca, carrizo"
Suri,Ñandú
Surimana,Variedad de papa
Suru,Pico de las aves
Surump'i,Oftalmia de las nieves
Surump'iyaña,Cegar o deslumbrar
Surumpiña,Ofuscar la vista o una luz muy viva
Suruña,Golpear o herir a las aves con el pico
Suruxaña,Encandilar
Suruxchi,Mal de altura
Susthapiña,Sacudir en aguayo a una persona
Sustigasiña,"Susto, Sobresalto"
Sustjaña,Asustar
Sustjasiña,Asustarse
Susukipaña,Cernir sobre alguna cosa
Susuña,Cernidor. Cernir.
Susuntaña,Cernir para incorporar
Susuraña,Zarandear
Susuta,Cernido
Suti,Nombre
Sutichaña,Apodar
Sutinchaña,"Titular, poner un título"
Sutinchawi,Título
Sutiniña,Tener nombre o apellido
Sutiyaña,Bautizar
Sutiyata,El que tiene nombre. Bautizado.
Sutiyir,Madrina
Sutiyiri,Sacerdote
Sutuhuailla,Lagartija
Sutumari,Una variedad de papa
Suxta,Número seis
Suxu,"Ahuecado, vacio, agusanado"
Suxuqi,Ruido
Suyaña,Esperanza
Suyiri,Persona que espera
Suyt'aña,Esperar un momento
Suytaña,Esperar
Suyu,"Parcela, Territorio, nación"
T'aja,Enredo. Dolor
T'aji,Enfermedad
T'ajsa,"Algo natural en calma, Terreno húmedo casi seco"
T'ajsaña,"Secar, Orear el terreno. Jalar algo para romper"
T'ajsuta,Lavado
T'akuta,Tranquilo
T'akuyaña,Hacer tranquilizar
T'akuyiri,"Calmante, El que tranquiliza"
T'alaña,Echar barro
T'alpha,"Ancho, plano"
T'amata,Orín podrido
T'ampulli,"Melenudo, Chascoso"
T'ap'a,Insípido
T'apnaqiri,Persona que camina lentamente
T'aqapacha,Estación del año
T'aqaqiri,Persona que rompe
T'aqaraña,Arrancar uno a uno
T'aqisiña,"Estar afligido, triste"
T'aqisita,"Angustiado, apenado"
T'aqisiyaña,"Oprimir, martirizar, atormentar"
T'aqjaña,Arrancar
T'aqxaña,"Hilo roto, reventado. Juzgar, dar sentencia. Separarse, divorciarse."
T'aqxawayaña,"Dar solución a algún asunto, Romper algo al pasar"
T'ara,Insulto
T'arwa,Lana
T'arwarara,Lanudo
T'axlli,"Medida del espacio, Espacio"
T'axlliña,Abofetear
T'axlliraña,"Aplaudir, Jalearse"
T'axmara,"Necio, caprichoso"
T'axqataña,Aproximarse a alguien sin querer
T'axsurapiña,Lavárselo
T'axsuta,Lavado
T'ijsuña,Salir violentamente
T'ikachiri,El que adorna. Decorador
T'ikaña,Adornar
T'ikitawa,Inflamación
T'ili,"El más pequeño, menudo"
T'iniña,"Aborrecer, odiar"
T'iñisiri,"Rencoroso, vengativo"
T'inkha,Canicas para jugar
T'iqi,"Apretado, estrecho"
T'iqintaña,"Embutir, introducir algo dentro de otra cosa"
T'iqiqiña,Máquina de escribir
T'irillu,Bebida alcohólica
T'iriña,Sujetar con gancho
T'irsuña,"Desenganchar, quitar el gancho, desabrochar, Salir violentamente"
T'isaña,Desenredar la lana
T'isi,Moco seco
T'iskuntaña,"Entrar brincando, o entrar a la carrera"
T'iskurata,Desabollado
T'isu,Cordón de las polleras
T'iwka,Evitar el daño a algún insecto
T'ixita,Pelota de trapo
T'ixtaña,Correr
T'ula,Leña
T'ullku,Hilo retorcido
T'una,"Basura, Dinero fraccionado"
T'unjaña,"Destruir, triturar, despedazar algo"
T'uruña,Masticar
T'usu,Pantorrilla
T'uxita,Desmenuzado
T'uxpi,"Revoltoso, atolondrado"
T'uxu,"Ventana, Agujero, hoyo. Casco de minero."
T'uxuniqaña,"Magullar, desmenuzar"
T'uxuntaña,Hundir la cáscara de un huevo
Taca,Golpe
Tachu,Jarra de barro cocido para agua
Taclla,Arado
Taica,Madre
Taicamasti auqui masti?,¿Y tu madre y tu padre?
Taipi,Centro. Medio.
Takay,Cimiento
Taki,Medida de peso
Takichaña,Pisotear
Takiña,Patear
Takinuqaña,"Pisotear, patear, patada"
Takiqaña,Separar con los pies
Takisi,Persona que zapatea
Takisiña,"Zapatear, se patean"
Taksuña,"Pisotear, pisarlo"
Takxataña,"Atropellar, pasar por encima de una persona"
Talanki,Campana
Talliña,Echar o vaciar
Tallintaña,Echar líquidos o granos en una vasija
Tallinuqaña,Vaciar en varios recipientes
Talliqaña,Vaciar de uno a otro recipiente
Talliraña,Vaciar en cantidad
Tallmiña,"Rebuscar la chacra, escarbar la tierra con la picotilla"
Tallsuña,Desocupar una vasija
Tama,"Grupo, rebaño"
Tamachaña,"Hacer ovillos de hilo. Unir, asociar para un fin."
Taniña,"Bajar, venir de arriba"
Tanka,Sombrero
Tanqatanqa,Escarabajo
Tansa,"Talla, tamaño. El tamaño de las cosas o personas."
Tanta,"Enredo de cabellos, lana, etc."
Tanta sarañani,Iremos juntos
Tantachawi,Asociación conglomerada
Tantaña,"Acopiar, reunir, juntar. Ahorrar, acumular"
Tantasiña,"Reunirse, Juntarse"
Tantata,"Reunido, junto"
Tantiyu,"Mediano, ni grande ni pequeño"
Tantsuña,Reunir en cantidad
Tapa,Nido de la ave
Tapachaña,Formar nido
Tapachasiña,Hacer nido para uno mismo
Tapakayu,Pata con plumas
Taparacu,Mariposa
Taparaku,Mariposa nocturna de color oscuro
Tapiyali,Pared de tierra apisonada
Tapuña,Medir
Taqa,Omóplato (hueso plano del hombro)
Taqanaña,"Empedrar, Hacer pared doble de piedra"
Taqi,Todo
Taqichiqa,Por todo lado
Taqichuyma,De todo corazón
Taqini,Entre todos
Taqininkiri,Pertenece a todo
Taqinki,Es de todos
Taqpacha,Todos
Taquiña,Pisar
Taquita,Pisado
Tara,Tubérculo o fruto unido
Tarawank'u,Conejo silvestre
Tarawt'aña,Atar la pata delantera
Tari,Prenda tejida para llevar fiambre o guardar coca
Tarilla,Servilleta pequeña
Taripaña,"Juzgar, Ajusticiar"
Taripiri,"Juez, autoridad encargada de juzgar"
Tarma,"Tardón, lento. Terco"
Tarqa,Instrumento musical de madera
Taru,Una de las ocho partes de un desollado
Taruchjaña,Desmembrar un desollado
Taruja/Taruka,Venado
Taruqnuqaña,Descuartizar
Tarwi,Leguminosa comestible
Tarxchi,"Pajarillo no mayor que el hornero, que se adueña del nido de aquel"
Tata,"Señor, Padre, Amo."
Tataku,Expresión afectiva hacia el padre
Tatala,"Señor, persona de respeto"
Tatitu,Ser superior. Dios
Tauakita,Jovencita
Tawa,Tejido muy ralo
Tawaqu,"Mujer, joven soltera"
Tawqa,Amontonado
Tawqaña,Poner uno sobre otro
Tawqaraña,Bajar lo amontonado
Tawqsuña,Hacer pared
Taykali,Viejita
Taykaluk'ana,Pulgar
Taykch'i,Suegra
Taykch'imasi,Consuegra
Taypi,"Centro, medio"
Taypiluk'ana,Dedo medio
Taypinkaña,Estar en el centro
Taypinkiri,Del centro
Taypiri,Persona que está en el medio
Thaigsuña,Lavar
Thajaña,Buscar
Thajata,Buscado
Thajgsata,Lavado
Thajllana,Bofetada
Thajteyaña,Airear
Thakhi,"Camino, senda"
Thakhichiri,Persona que hace camino
Thakichaña,Hacer camino
Thalakipaña,Volver a sacudir alguna prenda
Thalaña,"Sacudir frazadas, prendas de ropa. Sacudir."
Thalantaña,"Compactar en bolsa algún producto, Echar dentro de algo lo que se sacude"
Thalaqaña,Sacudir quinua antes del trillado total
Thalarpäña,Echar por ahí sacudiendo basura o polvo
Thalsuta,Sacudido
Thaltaña,Mover con fuerza
Thamnaqiri,Persona que anda sin rumbo
Thanqha,"Brusco, desapacible"
Thanqhaña,Abusar exageradamente
Thantaha,Trapo
Thantha,"Harapo, andrajo viejo"
Thanthalli,Andrajoso
Thanthaña,Gastar poco a poco una cosa
Thanthantaña,Envejecer una cosa
Thanthata,Envejecido
Thapa,Nido
Thapaña,Ir lento
Thapha,Liviano que no es pesado
Thaqhakipaña,Buscar y rebuscar; trastornar cosas para hallar
Thaqhaña,"Buscar personas, animales y objetos"
Thaqhaniña,Ir a buscar
Thaqhiri,"Persona que busca, buscón"
Thaqsuña,"Rebuscar, con cuidado"
Thaqsuri,Persona elegida para buscar
Thaqui,Camino
Tharsuña,Deshierbar un cultivo
Thatha,"Suelto, prenda demasiado ancha"
Thathana,Tragar
Thathantaña,Persona agresiva. Devorar tragar.
Thathantata,Borracho. Demasiado ebrio
Thathaqaña,Bajar de golpe una prenda de vestir de cintura para abajo. Mordedura del perro
Thatharaña,Desvestirse. Quitarse la ropa
Thatharasiri,El que se desviste
Thatharayaña,Hacer desvestir a alguien
Thathsuña,Desvestirse y votar la ropa
Thatiri,Tragón
Thawiña,Revolver
Thawiyaña,Hacer revolver algo
Thawjaña,Enredar lana o hilo
Thawjiri,Persona que esparce
Thaxa,Estiércol de carneros
Thaxu,"Fruto silvestre, comestible, Algarrobo"
Thaya,"Aire, viento o frío"
Thayacha,Oca o isaña helada
Thayachaña,Ventear
Thayaña,Provocar viento. Helar.
Thayaraña,Enfriar
Thayt'ayaña,Hacer enfriar
Thayt'ayasiña,Resfriarse
Thaytayata,Resfriado
Thia,Extremo
Thijlla,Persona con pies desiguales de nacimiento
Thijraña,Cambiar o revolcar la vista
Thijuña,Escapar
Thijwa,"Travieso, curioso"
Thimpu,Comida de cordero
Thiñthi,Colérico
Thiraña,Urdir
Thistapiña,Encoger
Thisthapi,"Calambre, espasmo contracción involuntaria de los músculos"
Thisthapita,Encogido
Thithiña,Renegar
Thixiña,"Freír en un sartén con aceite, cebo o manteca"
Thixni,"Cadera. Cintura, hueso iliaco"
Thiya,Cerca. Orilla
Thiyankiri,"Lateral, que está al lado de una cosa"
Thujgsa,Fétido. Hediondo.
Thujro,Bastón
Thujru,Bastón o cayado
Thujsa,"Hediondo, mal olor"
Thujsaña,Dar de sí olor malo
Thukkuña,Bailar
Thukkuri,Bailarín
Thula,Terrón
Thulu,"Corazón de mazorcas, donde están encajados los granos de maíz"
Thuna,Basura
Thunkhuña,Saltar con un solo pie
Thuqhu,Danza o baile
Thuqhukipaña,Saltar por encima de algo
Thuqhumukuña,Apartarse del camino o irse por ahí saltando
Thuqhuña,Saltar o bailar
Thuqhuntaña,"Allanamiento de morada. Entrar sorpresivamente, Caer adentro saltando."
Thuqhuraña,Bajar saltando
Thuqhuri,"Danzante, danzarín, bailarín"
Thuqhuyaña,Hacer bailar a alguien
Thuqkaya,Bailable
Thuqnaqaña,"Andar saltando o brincando, Saltar de un lugar a otro"
Thuqt'aña,"Brincar, saltar con impulso y ligereza"
Thuqt'ayaña,Hacer bailar momento a momento a alguna persona
Thuqthapiña,"Topar, chocar violentamente"
Thuquña,Baile
Thuqxataña,Atacar violentamente a alguien por alguna cosa
Thuriña,Resistir pisando a alguna cosa
Thuriyaña,"Reforzar, dar mayor solidez, animar, alentar. Sujetar la pared con palos"
Thurt'aña,Resistir con fuerza
Thuru,"Duro, fuerte. Grueso. Tieso."
Thuruntayaña,Endurecer
Thusa,Saliva
Thusaña,Escupir
Thusantaña,Escupir adentro
Thusarpaña,"Arrojar de la boca, saliva, comida o bebida"
Thuskataña,Escupir contra alguien
Thusnu,Escupitajo de la llama
Thusuña,Escupir saliva
Thusunqalla,Saliva
Thusxataña,Escupir por encima
Thutha,Polilla. Parásito destructor de ropas
Thuthaña,Apolillar
Thuthantata,Ropa apolillada
Thuthata,Apolillado
Thuthuña,"Renegar, estar enojado y hablar malas palabras"
Thuthuyaña,Hacer hablar mal o hacer protestar a otra persona
Thuxtu,Gallina en clueca
Thäch'isi,Muy frío
Thäraña,Enfriar lo caliente
Thärpaña,Aventar
Ticsi,Origen
Tilaña,Preparar los hilos para el telar
Tilayaña,Hacer urdir
Tili,"El más pequeño, menudo"
Tiliri,"Tejedor, el que teje"
Tillirpayaña,Vaciar indistintamente
"Timiri, ekeko",Enano
Tincusiña,Encontrarse
Tinkuña,Caer
Tinkusiña,"Caerse, Tumbar"
Tinkuta,Caído
Tiraña,Tratar de lograr algo
Tirankaya,Quijada
Tirsu,"Media carga, Un semestre"
Tisi,"Persona delgada. Varilla, Barra larga y delgada."
Tisiki,Inmóvil
Titi,"Gato silvestre, gato salvaje"
Titiki,Ojos enrojecidos
Tiwula,Zorro
Tixi,"Flaco, Débil"
Tixiña,Golpear
Tixiqtaña,Enflaquecer
Tixisiña,Pelear con otra persona
Tokkeña,Injuriar
Tonquru,Tráquea
Ttacaña,Arrancar
Ttakhu,Áspero
Ttakisiña,Padecer
Ttakkaña,Destetar
Ttantta,Pan
Ttaura,"Lana, Vello"
Ttinina,Gemir
Ttiri,Cicatriz
Ttiscuña,Brincar. Saltar
Ttucurana,Desmayarse
Ttukantata,Enflaquecido
Ttukayaña,Enflaquecer
Ttuna,Menuda
Tucuña,Gastar
Tucuntid,Gastador
Tucusi,Acabarse
Tucusiña,Terminarse
Tucuyaña,Acabar. Concluir. Terminar.
Tukjaña,Reducir hasta no dejar nada
Tukkiña,"Insultar, Reñir"
Tukkuru,Garganta
Tuksuta,Terminado
Tuksuyaña,Hacer acabar
Tuku,"Fin, Final"
Tukuchaña,Finalizar
Tukuntaña,"Consumir, acabar"
Tukusita,"Extinto, paupérrimo o muy pobre"
Tukustata,Acabado
Tullqa,Yerno
Tullqamasi,Con cuñado
Tumayku,Persona que va de casa en casa. Vagabundo
Tumpa,Calumnia
Tumpaña,"Culpar, Visitar"
Tumpaniña,Ir a visitar
Tumpasiña,Echarse de menos
Tumpata,Calumniado
Tumpiri,El que visita
Tumpt'aña,Visitar un momento
Tunca,Diez
Tunka,Número diez
Tunka kimsaqallqoni,"18, Dieciocho"
Tunka kinsani,"13, Trece"
Tunka mara,Una década
Tunka mayani,"11, Once"
Tunka paqallqoni,"17, Diecisiete"
Tunka payani,"12, Doce"
Tunka phisqani,"15, Quince"
Tunka pusini,"14, Catorce"
Tunka sojtani,"16, Dieciséis"
Tunka yatunkani,"19, Diecinueve"
Tunkiri,Décimo
Tunkuru,Espacio de diez días
Tunqu,Maíz
Tunquru,Faringe
Tunta,"Papa deshidratada, (Chuño blanco)"
Tuntachaña,Elaborar chuño blanco
Tunti,"Descolorido, de color pálido"
Tunu,Raíz principal
Tunupa,Dios andino
Tunuraña,Adormecimiento de alguna parte del cuerpo por la acción del frío
Tunurayiri,Anestesia
Tupa,Encuentro
Tupaña,Chocar. Encontrarse.
Tupantaña,Encuentro casual
Tupata,Chocado
Tupu,"Prendedor, alhaja que usan las mujeres, Medida, distancia."
Tupuña,Medir
Tuputa,Medido
Tuqintasiña,Discutir
Tuqinuqaña,"Reprender, reñir. Rezongarlo"
Tuqisiña,"Discutir, Reñir"
Tuqita,Reñido
Tuqu,Clueca
Tuquru,Caña gruesa para tejer
Tuqxaña,"Amonestarlo, reñirlo, reprenderlo"
Turiyaña,"Molestar, fastidiar, entretener"
Turiyasiña,Burlarse
Turka,"Permuta, cambio"
Turkakipaña,Intercambiar
Turkaña,"Cambiar, canjear"
Turkaqaña,"Sustituir, cambiar a una persona o cosa en lugar de otra"
Turkt'asiña,Cambiar entre sí recíprocamente
Turpa,Leve
Tusu,Pantorrilla
Tuta,Obscuridad. Falta de luz o de claridad
Tutira,Solterón
Tutu,Grano tostado
Tutuka,Remolino de viento con mucha fuerza
Tutukiña,Ir alegre
Tuurmi,Polvo
